2025-08-12 16:43:59,944 INFO    MainThread:160516 [wandb_setup.py:_flush():80] Current SDK version is 0.21.1
2025-08-12 16:43:59,945 INFO    MainThread:160516 [wandb_setup.py:_flush():80] Configure stats pid to 160516
2025-08-12 16:43:59,945 INFO    MainThread:160516 [wandb_setup.py:_flush():80] Loading settings from /home/jeb/.config/wandb/settings
2025-08-12 16:43:59,945 INFO    MainThread:160516 [wandb_setup.py:_flush():80] Loading settings from /home/jeb/Projects/training/regularization-using-data/wandb/settings
2025-08-12 16:43:59,945 INFO    MainThread:160516 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-12 16:43:59,945 INFO    MainThread:160516 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/jeb/Projects/training/regularization-using-data/wandb/run-20250812_164359-eydjle0y/logs/debug.log
2025-08-12 16:43:59,945 INFO    MainThread:160516 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/jeb/Projects/training/regularization-using-data/wandb/run-20250812_164359-eydjle0y/logs/debug-internal.log
2025-08-12 16:43:59,945 INFO    MainThread:160516 [wandb_init.py:init():830] calling init triggers
2025-08-12 16:43:59,945 INFO    MainThread:160516 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'dataset': 'mnist', 'seed': 123456, 'lr': 0.1, 'batch_size': 128, 'eval_interval': 10, 'epochs': 100, 'dropout': False, 'batch_norm': False, 'optimizer': 'adam', 'wandb': True, 'wandb_project': 'regularize-using-data', 'wandb_name': 'mnist_lr=0.1', 'save_model': True, '_wandb': {}}
2025-08-12 16:43:59,945 INFO    MainThread:160516 [wandb_init.py:init():871] starting backend
2025-08-12 16:44:00,163 INFO    MainThread:160516 [wandb_init.py:init():874] sending inform_init request
2025-08-12 16:44:00,166 INFO    MainThread:160516 [wandb_init.py:init():882] backend started and connected
2025-08-12 16:44:00,172 INFO    MainThread:160516 [wandb_init.py:init():953] updated telemetry
2025-08-12 16:44:00,176 INFO    MainThread:160516 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-12 16:44:00,961 INFO    MainThread:160516 [wandb_init.py:init():1029] starting run threads in backend
2025-08-12 16:44:01,024 INFO    MainThread:160516 [wandb_run.py:_console_start():2494] atexit reg
2025-08-12 16:44:01,025 INFO    MainThread:160516 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-08-12 16:44:01,025 INFO    MainThread:160516 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-08-12 16:44:01,025 INFO    MainThread:160516 [wandb_run.py:_redirect():2434] Redirects installed.
2025-08-12 16:44:01,027 INFO    MainThread:160516 [wandb_init.py:init():1075] run started, returning control to user process
